id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
7270,¡¡Great Loft in Palermo Hollywood!!,18822,Toni,,Palermo,-34.58241,-58.43382,Entire home/apt,2041,20,14,2018-04-30,0.15,1,363
11508,Amazing Luxurious Apt-Palermo Soho,42762,Candela,,Palermo,-34.58225,-58.4246,Entire home/apt,3601,2,26,2019-11-28,0.28,1,323
12463,Room in Recoleta - awesome location,48799,Matt,,Recoleta,-34.59761,-58.39468,Private room,1441,1,20,2017-12-11,0.17,1,365
13095,Standard Room at Palermo Viejo B&B,50994,Ariel,,Palermo,-34.59382,-58.42994,Private room,2701,1,1,2018-12-18,0.07,7,365
13096,Standard Room in Palermo Viejo B&B,50994,Ariel,,Palermo,-34.59398,-58.42853,Private room,2701,1,0,,,7,365
13097,Standard Room at Palermo Viejo B&B,50994,Ariel,,Palermo,-34.59381,-58.43007,Private room,2701,1,66,2019-11-27,2.08,7,365
13099,Lofty room in Palermo Viejo B&B,50994,Ariel,,Palermo,-34.59362,-58.42984,Private room,3601,1,0,,,7,364
13100,Master Room in Palermo Viejo B&B,50994,Ariel,,Palermo,-34.59288,-58.4301,Private room,4202,1,1,2017-11-23,0.04,7,359
13349,"Room #301, Aja Leith",52100,Yanina,,Monserrat,-34.61564,-58.38823,Private room,4202,1,0,,,6,365
13350,Room #302 Kimber Benton,52100,Yanina,,Monserrat,-34.6178,-58.3864,Private room,3601,1,0,,,6,365
13351,Hotel boutique Bonito Buenos Aires,52100,Yanina,,Monserrat,-34.61715,-58.38832,Private room,4202,1,0,,,6,365
13352,Room #304 Shana Elmsford,52100,Yanina,,Monserrat,-34.61575,-58.38667,Private room,3901,1,0,,,6,365
13367,Hotel Boutique Bonito Buenos Aires ,52100,Yanina,,Monserrat,-34.61704,-58.38673,Private room,3601,1,0,,,6,365
14222,"RELAX IN HAPPY HOUSE - PALERMO, BUENOS AIRES",55825,Manuel,,Palermo,-34.58777,-58.41106,Entire home/apt,2341,7,88,2019-11-29,0.96,3,354
14711,SPECTACULAR ANCIENT HOUSE,57770,Cintia,,Monserrat,-34.60913,-58.37372,Entire home/apt,7203,1,0,,,1,365
15074,ROOM WITH RIVER SIGHT,59338,Monica,,Nuñez,-34.53724,-58.4658,Private room,1801,29,0,,,1,365
15889,ROOM W /BALCONY-DOWNTOWN ......,62183,Sonia,,Balvanera,-34.6029,-58.4114,Private room,2101,3,6,2014-06-01,0.06,2,365
16695,DUPLEX LOFT 2 - SAN TELMO,64880,Elbio Mariano,,Monserrat,-34.61385,-58.37706,Entire home/apt,3901,1,46,2019-11-30,0.42,12,361
16696,Duplex Loft en Microcentro Porteño,64880,Elbio Mariano,,Monserrat,-34.61469,-58.37421,Entire home/apt,3001,1,52,2019-12-06,0.46,12,361
16697,Small Duplex Loft in San Telmo (8),64880,Elbio Mariano,,Monserrat,-34.61427,-58.37488,Entire home/apt,2701,1,22,2019-04-16,0.20,12,347
17451,A terrace in Buenos Aires,67732,Karen,,Belgrano,-34.55811,-58.46462,Private room,2041,2,0,,,1,87
17993,TEMPORARY RENT CUTE APARTMENT IN MICROCENTRO,68689,Maritza,,San Nicolas,-34.60175,-58.3786,Entire home/apt,2701,3,7,2018-08-01,0.07,2,309
18007,apartament in San Telmo,69404,Marcelo,,Monserrat,-34.6154,-58.3778,Entire home/apt,21008,1,0,,,1,365
18061,"Quirky, sunny & spacious - 5 px max",69605,Alejandra,,San Telmo,-34.61986,-58.36947,Entire home/apt,2701,7,144,2019-01-13,1.21,2,175
19583,"Studio in Recoleta , for two people.",74263,Arturo Raul,,Recoleta,-34.59593,-58.39257,Entire home/apt,2041,2,199,2019-07-31,1.87,1,365
20062,PENTHOUSE / best city views !! terrace & pool,75891,Sergio,,Palermo,-34.58079,-58.44203,Entire home/apt,5402,2,221,2019-12-21,1.87,3,168
20429,Hermoso  y acogedor departamento.,77065,Marcelo,,Constitucion,-34.62108,-58.38677,Entire home/apt,2101,15,0,,,1,89
21807,Comfortable apartment in San Telmo,83312,Graciela,,San Telmo,-34.62225,-58.37239,Entire home/apt,3001,6,0,,,2,298
21816,Apartment at Faena Hotel,83130,Marce,,Puerto Madero,-34.61407,-58.36187,Entire home/apt,10804,6,0,,,4,178
21837,Comfortable studio in Callao Avenue,80208,Olga,,Monserrat,-34.60807,-58.37224,Entire home/apt,3601,3,0,,,1,365
23798,"CHIC, LIGHT, SPACIOUS LOFT APPT- SAN TELMO",94615,Nicola,,Monserrat,-34.61495,-58.37319,Entire home/apt,3061,3,48,2020-01-18,0.51,1,6
24713,"BEAUTIFUL, EXCELLENT UBICATION/OBELISK  5 STARS!!!",100743,Griselda,,San Nicolas,-34.6034,-58.37867,Entire home/apt,1801,1,336,2020-01-06,4.04,9,327
24763,Amazing LOFTpalermo: contemporary and cool,101049,Sebastian,,Chacarita,-34.58681,-58.44476,Entire home/apt,3541,10,32,2018-11-08,0.30,1,89
25876,Stylish & Comfortable Apartment,108864,Luis,,San Nicolas,-34.59999,-58.37851,Entire home/apt,2401,3,226,2020-01-06,2.02,1,210
26258,Huge 473sqf Studio @ Palermo University area,111013,Daniel,,Balvanera,-34.5991,-58.41053,Entire home/apt,2101,7,2,2013-10-23,0.02,2,363
26757,"Sunny Terrace, Cozy Loft, Sleeps 4 in San Telmo",97165,Angela,,San Telmo,-34.62199,-58.36883,Entire home/apt,1921,3,80,2019-12-01,0.70,5,132
26839,Studio in retiro neighborhood,114411,Nicole,,Retiro,-34.59395,-58.37938,Entire home/apt,2401,4,0,,,1,180
27562,Modern & comfortable apartment at best location,119120,Julieta,,Palermo,-34.58095,-58.40461,Entire home/apt,3601,4,21,2020-01-16,0.20,3,41
27631,Apartment for rent in Recoleta,119446,Inés,,Recoleta,-34.591,-58.39039,Entire home/apt,2941,2,93,2019-11-10,0.81,1,331
27991,One bedroom Apt on corner Corrientes and Araoz.,120567,Pablo,,Villa Crespo,-34.59984,-58.43692,Entire home/apt,3301,10,33,2020-01-10,0.29,2,328
28244,Loft in Palermo Hollywood.Pool 617,119613,Marcos,,Palermo,-34.57628,-58.43456,Entire home/apt,3421,5,22,2019-08-01,0.30,9,80
29421,Best Location Las Cañitas 1 Bed Apt,126458,Adriana,,Palermo,-34.57066,-58.43211,Entire home/apt,2701,3,0,,,2,365
29983,Depto de 1 ambiente en Recoleta,129235,Carolina,,Recoleta,-34.59925,-58.3908,Entire home/apt,4742,2,0,,,1,365
29990,"Funky & Stylish Apartment, Palermo",129245,Savas,,Palermo,-34.58521,-58.42739,Entire home/apt,2941,3,154,2019-07-26,1.37,1,68
31514,BEAUTY DUPLEX LOFT #4 SAN TELMO,64880,Elbio Mariano,,Monserrat,-34.61555,-58.37612,Entire home/apt,4502,1,27,2019-12-06,0.24,12,357
31920,Beautifull apartment in Belgrano!,137373,Nancy,,Belgrano,-34.56483,-58.46014,Entire home/apt,3601,30,0,,,1,365
35703,Charming studio in Palermo,150763,Viviana,,Recoleta,-34.59103,-58.40781,Entire home/apt,2401,4,83,2019-11-27,0.78,1,361
37347,Palermo/Las Cañitas Apartment ,161327,Mariano,,Palermo,-34.57185,-58.43286,Entire home/apt,2461,14,36,2020-01-08,0.33,13,364
41242,WONDERFUL HOUSE,74406,Mathilde,,Palermo,-34.58986,-58.42518,Private room,6002,1,0,,,4,365
41243,WONDERFUL HOUSE,74406,Mathilde,,Palermo,-34.58983,-58.42532,Private room,6002,30,0,,,4,365
41608,Palermo Soho Spectacular New Unit,181721,Yamila & Eyenit,,Palermo,-34.58576,-58.42803,Entire home/apt,4502,2,115,2019-12-20,1.10,2,347
42450,French Classic in San Telmo: Balcony over Defensa!,185437,Grisel,,Monserrat,-34.61544,-58.37258,Entire home/apt,5402,3,126,2020-01-20,1.24,2,133
45498,"Quite & Chic, fully equipped, 2Bd, pool & terrace",75891,Sergio,,Palermo,-34.58284,-58.44206,Entire home/apt,4802,2,111,2020-01-04,0.97,3,164
46639,Rent Apart Palermo Buenos Aires 5px,209005,Flor,,Palermo,-34.58861,-58.41647,Entire home/apt,5102,3,7,2018-11-04,0.11,4,364
48089,Recoleta Classic French-Style 2BDR,192475,Chris,,Recoleta,-34.58676,-58.38854,Entire home/apt,4202,7,101,2020-01-07,0.89,1,365
48527,French style apartment in Recoleta ,221661,Ricardo,,Recoleta,-34.58543,-58.39637,Entire home/apt,7683,3,1,2014-01-07,0.01,2,365
48535,Elegant apartment in downtown Bs.As,221044,Florencia,,Retiro,-34.59456,-58.37503,Entire home/apt,3001,90,0,,,1,364
48678,Grate & Luxury apartment Recoleta ,221661,Ricardo,,Recoleta,-34.58722,-58.39676,Private room,7683,3,1,2010-12-30,0.01,2,365
50778,Gorgeous 2bdrm in Awesome Recoleta,233651,Cameron,,Recoleta,-34.59072,-58.40064,Entire home/apt,2701,5,96,2020-01-08,0.86,6,180
52115,Little & beautifull Recoleta apt.,240731,Cecilia,,Recoleta,-34.59544,-58.39319,Entire home/apt,3601,5,1,2019-01-30,0.08,2,18
52511,San Telmo Apartment (Buenos Aires),242939,Gri,,Monserrat,-34.60886,-58.37349,Entire home/apt,4202,4,0,,,1,365
53097,Duplex-Loft in  Historic Quartier of Buenos Aires,64880,Elbio Mariano,,Monserrat,-34.61405,-58.37444,Entire home/apt,3601,1,36,2019-10-29,0.32,12,364
53905,Trendy studio in Villa Crespo!,252182,Victoria,,Villa Crespo,-34.59814,-58.43858,Entire home/apt,1801,3,76,2019-11-23,0.68,1,325
58778,❤️Amazing View!  1 Bedroom  Studio - UNO22❤️,281041,Michael,,Palermo,-34.58233,-58.42309,Entire home/apt,7503,1,25,2019-03-23,0.26,3,364
